isotope pass1 pass2 pass3 pass4 pass5 pass6
Gd-157 1.17E-07 1.55E-07 1.84E-07 2.06E-07 2.21E-07 2.31E-07
Gd-158 1.72E-06 4.79E-06 9.07E-06 1.46E-05 2.15E-05 3.00E-05
Gd-160 1.25E-07 3.93E-07 8.46E-07 1.52E-06 2.43E-06 3.60E-06
Tb-159 2.43E-07 6.99E-07 1.41E-06 2.40E-06 3.70E-06 5.32E-06
Tb-160 1.45E-09 5.89E-09 1.39E-08 2.67E-08 4.55E-08 7.16E-08
Dy-160 8.25E-10 6.51E-09 2.21E-08 5.29E-08 1.07E-07 1.91E-07
Dy-161 3.38E-08 1.31E-07 3.21E-07 6.15E-07 1.01E-06 1.47E-06
Dy-162 2.43E-08 9.77E-08 2.56E-07 5.24E-07 9.26E-07 1.47E-06
Dy-163 1.28E-08 5.10E-08 1.32E-07 2.76E-07 5.07E-07 8.48E-07
Dy-164 7.22E-09 2.47E-08 5.40E-08 9.54E-08 1.49E-07 2.13E-07
Ho-165 3.66E-09 1.94E-08 5.92E-08 1.35E-07 2.62E-07 4.59E-07
Er-162 2.97E-26 1.69E-23 2.24E-23 1.30E-22 1.73E-22 7.58E-22
Er-164 6.01E-14 2.06E-13 4.06E-13 6.42E-13 9.21E-13 1.25E-12
Er-166 1.36E-09 6.13E-09 1.71E-08 3.73E-08 7.03E-08 1.21E-07
Er-167 5.10E-10 1.78E-09 3.91E-09 6.51E-09 9.02E-09 1.09E-08
Er-168 5.49E-10 3.07E-09 9.60E-09 2.21E-08 4.23E-08 7.13E-08
Er-170 8.08E-11 4.10E-10 1.21E-09 2.65E-09 4.84E-09 7.79E-09
Lu-175 3.64E-12 1.65E-11 4.85E-11 1.06E-10 1.94E-10 3.12E-10
Lu-176 1.13E-14 6.40E-14 2.12E-13 4.99E-13 9.35E-13 1.47E-12
Hf-174 1.11E-25 2.28E-23 5.92E-23 7.28E-22 1.53E-21 1.13E-20
Hf-176 2.92E-14 2.22E-13 9.15E-13 2.68E-12 6.37E-12 1.30E-11
Hf-177 4.95E-13 2.94E-12 8.97E-12 1.88E-11 3.16E-11 4.56E-11
Hf-178 3.74E-13 2.62E-12 9.51E-12 2.37E-11 4.78E-11 8.30E-11
Hf-179 1.77E-13 1.20E-12 4.24E-12 1.05E-11 2.16E-11 3.89E-11
Hf-180 8.60E-14 5.55E-13 1.89E-12 4.49E-12 8.75E-12 1.50E-11
Ta-181 2.46E-14 1.91E-13 7.24E-13 1.81E-12 3.58E-12 6.07E-12
Ta-182 8.98E-16 2.94E-15 7.10E-15 1.36E-14 2.20E-14 3.14E-14
W-182 4.56E-16 2.36E-15 7.50E-15 1.81E-14 3.62E-14 6.28E-14
W-183 1.41E-14 8.93E-14 3.07E-13 7.34E-13 1.43E-12 2.44E-12
W-184 6.35E-15 4.27E-14 1.51E-13 3.64E-13 7.07E-13 1.19E-12
W-186 1.77E-15 1.14E-14 4.01E-14 9.52E-14 1.81E-13 2.99E-13
Re-185 1.18E-15 9.15E-15 3.68E-14 9.54E-14 1.92E-13 3.24E-13
Re-187 1.06E-15 6.53E-15 2.30E-14 5.53E-14 1.07E-13 1.80E-13
Ir-191 5.53E-17 9.04E-17 1.07E-16 1.15E-16 1.24E-16 1.45E-16
Ir-193 2.44E-17 4.65E-17 6.67E-17 8.62E-17 1.09E-16 1.42E-16
Au-197 1.19E-22 7.64E-21 9.20E-20 5.12E-19 1.89E-18 5.38E-18
Hg-196 2.21E-25 2.69E-23 3.84E-22 2.29E-21 8.77E-21 2.53E-20
Hg-198 1.66E-23 1.92E-21 2.77E-20 1.71E-19 6.84E-19 2.08E-18
Hg-199 2.08E-23 2.22E-21 2.89E-20 1.58E-19 5.46E-19 1.39E-18
Hg-200 1.57E-23 1.78E-21 2.62E-20 1.66E-19 6.82E-19 2.13E-18
Hg-201 7.81E-28 1.95E-25 4.74E-24 4.42E-23 2.55E-22 1.09E-21
Pb-206 5.53E-22 1.33E-20 6.95E-20 2.03E-19 4.43E-19 8.04E-19
Pb-207 8.87E-19 9.03E-18 3.11E-17 6.97E-17 1.26E-16 1.98E-16
Pb-208 5.19E-16 8.14E-15 3.81E-14 1.08E-13 2.36E-13 4.35E-13
Bi-209 1.49E-21 4.90E-20 3.80E-19 1.53E-18 4.42E-18 1.02E-17
Ra-223 3.12E-19 1.40E-18 2.98E-18 4.72E-18 6.41E-18 7.87E-18
Ra-224 6.69E-17 4.96E-16 1.48E-15 3.03E-15 5.08E-15 7.46E-15
Ra-225 1.20E-21 1.83E-20 8.81E-20 2.53E-19 5.56E-19 1.02E-18
Ra-226 1.39E-19 1.08E-18 3.61E-18 8.67E-18 1.79E-17 3.41E-17
Ac-225 6.24E-22 1.07E-20 5.40E-20 1.59E-19 3.55E-19 6.63E-19
Ac-226 1.26E-23 2.37E-23 3.22E-23 3.45E-23 3.59E-23 3.22E-23
Ac-227 3.72E-16 1.31E-15 2.56E-15 3.91E-15 5.21E-15 6.36E-15
Th-227 6.22E-19 2.51E-18 5.15E-18 8.01E-18 1.08E-17 1.31E-17
Th-228 1.42E-14 1.01E-13 2.97E-13 6.04E-13 1.01E-12 1.48E-12
Th-229 3.21E-16 4.15E-15 1.86E-14 5.14E-14 1.10E-13 2.00E-13
Th-230 9.24E-14 3.57E-13 8.11E-13 1.53E-12 2.73E-12 4.73E-12
Th-232 2.82E-11 1.09E-10 2.39E-10 4.12E-10 6.28E-10 8.80E-10
Th-234 1.03E-11 1.03E-11 1.03E-11 1.02E-11 1.01E-11 1.01E-11
Pa-231 6.89E-11 1.12E-10 1.34E-10 1.39E-10 1.30E-10 1.11E-10
Pa-232 1.90E-13 3.30E-13 4.29E-13 4.92E-13 5.20E-13 5.16E-13
Pa-233 5.72E-13 2.80E-12 6.56E-12 1.15E-11 1.73E-11 2.36E-11
U-232 9.28E-12 3.39E-11 6.88E-11 1.09E-10 1.51E-10 1.90E-10
U-233 5.79E-11 1.37E-10 1.95E-10 2.76E-10 3.50E-10 4.61E-10
U-234 1.34E-07 2.68E-07 4.44E-07 7.25E-07 1.22E-06 2.05E-06
U-235 1.55E-01 0.135259604994887 0.11614193866167 9.82E-02 0.081017428272709 0.064747696902964
U-236 0.003882346988693 0.007439169160661 0.010737022958127 0.013744467024638 0.016518737201068 0.019038089887476
U-237 2.95E-06 6.06E-06 9.16E-06 1.23E-05 1.55E-05 1.88E-05
U-238 7.15E-01 0.711130869456897 0.706700026054688 7.02E-01 0.697155029859034 0.691917370052634
Np-235 2.35E-15 2.41E-14 6.92E-14 1.70E-13 3.32E-13 6.88E-13
Np-236 1.07E-12 7.84E-12 2.42E-11 4.63E-11 7.80E-11 1.07E-10
Np-237 2.57E-05 0.000102642685176 0.000223288465109 3.77E-04 0.000556193150299 0.000747542682993
Np-238 5.28E-08 2.28E-07 5.40E-07 1.01E-06 1.66E-06 2.56E-06
Np-239 7.46E-05 7.95E-05 8.39E-05 8.85E-05 9.33E-05 9.93E-05
